country,med_age_all,med_age_male,med_age_female,ed_index_2015,mean_years_school_2015,hdi_rank,continent,gdp_growth_1990_2015,gni_ppp_cap_usd,inequality,pop_growth_2015_20,per_urban,population
Saint Lucia,34.8,33.7,36,0.677,9.3,92,North America,4.7,12970,NA,0.45,18.7,182790
Saint Martin,32.5,31.6,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Pierre and Miquelon,46.5,46,47,NA,NA,NA,NA,NA,NA,NA,NA,90.2,5822
Saint Vincent and the Grenadines,33.6,33.8,33.4,0.657,8.6,99,North America,NA,13210,NA,0.24,52.2,110589
Samoa,24.4,24.1,24.6,0.702,10.3,104,Oceania,6.2,6620,NA,0.65,18.2,197097
San Marino,44.4,43.3,45.4,NA,NA,NA,NA,4.1,NA,NA,0.51,97.2,33860
Sao Tome and Principe,18.4,18,18.8,0.509,5.3,142,Africa,NA,NA,30.8,NA,NA,215056
São Tomé and Príncipe,NA,NA,NA,NA,NA,NA,NA,3.9,3430,NA,2.18,72.8,NA
Saudi Arabia,27.5,28.2,26.7,0.768,9.6,38,Asia,7.1,55650,45.9,1.9,83.8,34268528
Senegal,18.8,18,19.7,0.355,2.8,162,Africa,3.7,3670,40.3,2.77,47.2,16296364
Serbia,42.6,40.9,44.3,0.76,10.8,66,Europe,0.4,15360,29.1,-0.34,56.1,8772235
Seychelles,35.4,34.9,36,0.706,9.4,63,Africa,5.4,29070,46.8,0.5,56.7,97739
Sierra Leone,19,18.4,19.6,0.374,3.3,179,Africa,6.2,1520,34,2.12,42.1,7813215
Singapore,34.6,34.5,34.7,0.814,11.6,5,Asia,8.6,94500,46.4,1.4,100,5804337
Sint Maarten,41,39.9,42,NA,NA,NA,NA,NA,33320,NA,NA,100,42388
Slovakia,40.5,38.8,42.3,0.823,12.2,40,Europe,6.9,33600,26.1,0.04,53.7,5457013
Slovenia,44.5,42.8,46.2,0.886,12.1,25,Europe,3.6,38050,25.7,0.07,54.5,2078654
Solomon Islands,22.5,22.3,22.8,0.445,5.3,156,Oceania,7.1,2280,NA,1.94,23.7,669823
Somalia,18.1,18.3,17.9,NA,NA,NA,NA,NA,NA,NA,2.93,45,15442905
South Africa,27.1,26.9,27.3,0.705,10.3,119,Africa,4.1,13230,63,1.2,66.4,58558270
South Korea,41.8,40.2,43.4,0.867,12.2,18,Asia,6.6,40450,31.6,0.36,81.5,51225308
South Sudan,17.3,17.2,17.5,0.297,4.8,181,Africa,NA,1550,45.5,2.72,19.6,11062113
Spain,42.7,41.5,43.9,0.818,9.8,27,Europe,3.3,40840,36,0.03,80.3,46736776
Sri Lanka,32.8,31.5,34,0.752,10.9,73,Asia,8.9,13090,39.8,0.35,18.5,21323733
St. Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,NA,NA,NA
Sudan,19.9,19.7,20.1,0.318,3.5,165,Africa,NA,4420,35.4,2.38,34.6,42813238
Suriname,29.8,29.4,30.2,0.63,8.3,97,South America,9.2,13420,57.6,0.87,66.1,581372
Swaziland,NA,NA,NA,0.545,6.8,148,Africa,NA,NA,NA,NA,NA,NA
Sweden,41.2,40.2,42.2,0.855,12.3,14,Europe,2.7,53990,27.2,0.72,87.4,10036379
Switzerland,42.4,41.4,43.4,0.891,13.4,2,Europe,4,69220,32.5,0.83,73.8,8591365
Syria,24.3,23.9,24.8,NA,NA,NA,NA,4.6,NA,35.8,0.2,54.2,17070135
Syrian Arab Republic,NA,NA,NA,0.417,5.1,149,Asia,NA,NA,NA,NA,NA,NA
Taiwan,40.7,40,41.5,NA,NA,NA,NA,4.7,NA,33.8,0.28,78.2,23773876
Tajikistan,24.5,23.9,25.1,0.658,10.4,129,Asia,4.1,4040,34,2.06,27.1,9321018
Tanzania,17.7,17.5,18,0.441,5.8,151,Africa,10.9,3160,37.8,3.06,33.8,58005463
Thailand,37.7,36.6,38.7,0.641,7.9,87,Asia,6.2,18160,36.5,0.22,49.9,69037513
The Bahamas,32,30.9,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Gambia,21,20.7,21.3,NA,NA,NA,NA,NA,NA,47.3,NA,NA,2347706
Timor-Leste,NA,NA,NA,0.494,4.4,133,Asia,13,NA,31.6,NA,NA,NA
Togo,19.8,19.5,20.1,0.489,4.7,166,Africa,2.9,1760,43,2.45,41.7,8082366
